1,16,96
202,17,98
457,18,101
769,19,103
954,19,102
1297,20,105
1468,19,103
1835,20,104
2018,20,107
2256,21,110
2482,21,110
2482,21,110
2482,21,110
2482,21,110
3470,22,112
3696,22,113
3928,22,113
4153,21,106
2482,21,110
4623,21,107
4855,22,112
4781,21,105
5266,22,107
5622,22,110
4781,21,105
4781,21,105
6251,22,113
6432,22,107
6645,21,106
6848,21,105
2482,21,110
2482,21,110
7626,22,112
7851,22,112
8099,22,113
8309,22,113
8538,22,112
8785,22,107
9082,22,109
9216,22,112
9376,21,106
9596,22,109
2482,21,110
10104,22,107
10309,22,112
10520,23,115
10785,22,108
11002,22,108
11216,22,109
11452,22,111
11602,22,107
11808,23,109
12011,24,112
12215,24,113
12407,23,114
12608,23,115
12823,22,108
13058,22,109
13207,22,113
13406,23,115
13586,23,115
13780,22,113
13974,22,113
14134,22,105
14435,23,113
14622,23,113
14724,22,112
14906,22,113
15102,22,107
15302,22,108
15433,22,111
14516,21,109
15853,22,109
15945,22,112
16122,23,114
16285,22,114
16454,22,112
16621,22,113
16800,22,107
16946,22,111
17181,22,111
17380,23,111
17470,22,113
17596,22,111
17825,22,110
17928,22,107
18111,22,109
18254,22,107
18402,22,111
18567,22,107
18715,22,111
18863,22,111
19011,22,111
19164,22,112
19326,22,108
19514,22,111
19642,22,109
19778,22,107
19940,23,110
20081,22,107
20270,23,114
20377,23,114
20575,24,115
20705,22,111
20847,22,111
21012,22,108
21179,23,113
21328,22,111
21494,22,107
21737,23,110
21883,23,110
21982,22,107
22154,22,108
22318,22,108
22506,23,114
22749,23,108
22816,22,110
23090,23,108
23253,24,111
23460,25,113
23577,26,116
23774,26,114
23984,26,115
24070,27,118
24336,27,118
24481,27,120
24649,27,118
24762,24,114
25005,24,112
25177,25,115
25362,25,115
25541,23,110
25693,23,111
25882,23,110
26023,22,110
26176,22,109
26400,23,112
26539,22,109
26176,22,109
26176,22,109
27107,23,112
27370,23,112
27590,24,114
27691,23,110
28025,23,114
28164,23,108
28313,24,110
28516,25,112
28691,25,112
28893,25,112
29063,26,114
29282,26,113
29553,27,117
29833,28,119
29915,29,122
30046,26,122
30236,27,124
30441,27,124
30695,28,126
30917,29,128
31025,28,127
31368,29,129
31450,29,129
31610,29,131
31944,30,130
32002,30,134
32192,23,112
32399,24,114
32595,25,117
32799,26,118
33021,27,119
33211,28,121
33395,27,120
33590,28,123
33825,29,126
34065,29,126
34263,29,126
34386,28,122
34693,29,125
34779,29,122
35016,28,122
35258,29,125
35389,29,124
35589,30,125
35777,30,126
36075,31,129
36187,31,128
36380,32,131
36763,33,133
36859,34,136
37042,34,137
37168,34,137
37417,34,136
37570,34,137
37764,35,139
38025,34,137
38186,35,140
38361,35,140
38597,35,139
38833,32,127
39035,32,128
39165,31,127
39379,32,131
39687,33,133
39824,34,135
39956,32,132
40185,32,132
40361,32,132
40615,33,134
40787,33,135
40953,33,134
41152,34,135
41359,35,139
41549,34,136
41744,35,139
41954,35,139
42198,35,138
42417,36,142
42592,35,138
42756,35,139
43015,35,138
43228,36,139
43339,36,142
43584,37,145
43825,37,143
44094,38,145
44254,38,145
44336,37,143
44560,37,143
44752,37,144
44931,38,146
45171,38,148
45328,37,144
45534,37,144
45791,38,134
45975,38,136
46208,39,147
46378,39,147
46587,39,147
46719,39,147
46918,40,148
47154,41,150
47318,38,147
47534,39,150
47718,40,153
48039,41,155
48255,42,157
48314,41,154
48515,41,152
48719,42,157
48922,43,162
49108,42,158
49323,43,160
49515,43,160
49725,43,157
50041,44,164
50154,45,167
50314,45,166
50515,45,167
50701,46,170
50920,45,168
51108,45,168
51403,45,168
51546,42,155
51754,42,155
51914,43,158
52094,44,160
52324,45,162
52560,45,163
52715,45,164
52946,46,164
53120,47,166
53333,47,166
53565,47,165
53740,46,165
53904,47,169
54107,46,165
54366,47,169
54552,47,167
54701,47,167
54888,48,168
55103,48,169
55340,48,168
55490,47,157
55705,48,159
55946,49,161
56100,48,174
56272,48,169
56479,49,176
56705,50,178
56911,51,180
57070,51,181
57280,51,182
57532,52,184
57748,53,186
57872,52,184
58067,52,184
58265,52,184
58465,52,184
58691,53,186
58876,54,187
59075,55,188
59322,55,189
59579,56,191
59752,55,189
59937,56,191
60217,57,194
60285,57,192
60481,56,191
60687,57,193
60952,58,198
61058,58,198
61285,58,199
61577,57,197
61839,57,197
61908,57,192
62088,57,193
62275,57,195
62454,57,193
62671,58,196
62854,58,197
63108,59,199
63405,60,201
63463,57,196
63671,58,198
63833,16,96
64034,17,98
64298,18,99
64505,19,102
64807,20,104
64985,20,104
64985,20,104
65238,20,104
65486,20,104
66107,21,108
66231,21,106
66434,20,105
66684,21,106
65486,20,104
67312,21,106
65486,20,104
67650,21,107
67889,21,107
68138,21,107
68382,21,106
68624,21,107
68888,21,106
69137,22,109
69331,21,106
69571,21,106
69809,21,108
70050,21,106
70308,22,108
70308,22,108
70782,22,108
70308,22,108
71272,23,111
70308,22,108
70308,22,108
71952,23,110
72184,23,110
70308,22,108
72632,23,110
70308,22,108
73101,22,109
73332,22,109
72855,22,108
72855,22,108
74057,23,111
74276,23,110
74414,22,111
74715,23,110
74905,22,110
75119,22,111
75349,23,113
75560,23,114
75763,23,113
75969,24,116
76138,22,111
76381,23,113
76610,23,110
76796,23,111
75119,22,111
77192,23,113
77392,23,113
77587,23,114
77796,23,110
77992,24,112
75119,22,111
78380,23,113
75119,22,111
75119,22,111
78943,23,113
79097,22,111
79279,22,109
79483,23,110
79648,23,114
79821,23,113
80000,23,113
80151,23,110
80363,23,109
80515,23,113
80704,24,113
80850,23,114
81023,23,110
81181,23,109
81347,23,114
75119,22,111
81681,23,113
81840,23,113
82003,23,114
82166,23,113
82328,23,113
82492,23,113
82650,23,113
82807,23,113
82969,23,114
83142,24,113
82971,23,111
82971,23,111
83598,23,113
82971,23,111
83915,23,114
84073,23,113
84228,23,113
84381,24,115
84077,23,111
84814,24,114
84845,23,113
85012,23,113
85178,24,115
85335,25,117
85517,24,113
85673,24,113
85830,24,112
85992,24,113
86138,24,114
86339,24,114
86459,24,114
86629,24,113
86738,24,114
86913,24,114
87119,24,114
87288,24,113
87457,25,116
87620,25,116
87793,25,115
87963,26,118
88130,25,116
88300,25,117
88482,24,114
88681,24,114
88854,24,115
89033,24,113
89161,24,113
89346,25,116
89534,25,116
89847,23,116
89937,23,116
90193,23,116
90280,23,116
90469,24,119
90746,24,120
90878,23,117
91117,24,119
91256,24,121
91387,24,121
91661,24,121
91784,25,121
91968,24,119
92205,25,123
92375,26,124
92545,25,123
92818,26,125
93023,26,126
93115,26,125
93371,26,126
93560,27,128
93740,27,128
93827,27,128
94103,28,131
94331,29,133
94527,30,135
94705,30,135
94777,22,110
94966,22,110
95173,22,112
95465,23,115
95571,23,113
95761,23,112
96071,24,116
96124,22,108
96318,22,109
96512,23,113
83260,21,106
96904,22,112
97094,22,110
97381,22,112
97488,23,114
97739,24,116
